14000US36005000100	Census Tract 1, Bronx, NY	0	0
14000US36005000200	Census Tract 2, Bronx, NY	69514	16052
14000US36005000400	Census Tract 4, Bronx, NY	73036	11414
14000US36005001600	Census Tract 16, Bronx, NY	30817	4533
14000US36005001900	Census Tract 19, Bronx, NY	33862	5001
14000US36005002000	Census Tract 20, Bronx, NY	19150	3411
14000US36005002300	Census Tract 23, Bronx, NY	13902	2195
14000US36005002400	Census Tract 24, Bronx, NY	0	0
14000US36005002500	Census Tract 25, Bronx, NY	14628	3512
14000US36005002701	Census Tract 27.01, Bronx, NY	26094	6164
14000US36005002702	Census Tract 27.02, Bronx, NY	19237	4059
14000US36005002800	Census Tract 28, Bronx, NY	48717	9422
14000US36005003100	Census Tract 31, Bronx, NY	28047	10820
14000US36005003300	Census Tract 33, Bronx, NY	20852	2897
14000US36005003500	Census Tract 35, Bronx, NY	24321	8061
14000US36005003700	Census Tract 37, Bronx, NY	34000	21378
14000US36005003800	Census Tract 38, Bronx, NY	36250	32762
14000US36005003900	Census Tract 39, Bronx, NY	25513	3979
14000US36005004001	Census Tract 40.01, Bronx, NY	46809	6534
14000US36005004100	Census Tract 41, Bronx, NY	18021	2644
14000US36005004200	Census Tract 42, Bronx, NY	27868	7381
14000US36005004300	Census Tract 43, Bronx, NY	22359	4070
14000US36005004400	Census Tract 44, Bronx, NY	21033	5243
14000US36005004600	Census Tract 46, Bronx, NY	31250	12762
14000US36005004800	Census Tract 48, Bronx, NY	24683	5311
14000US36005005001	Census Tract 50.01, Bronx, NY	30106	7336
14000US36005005002	Census Tract 50.02, Bronx, NY	32788	9688
14000US36005005100	Census Tract 51, Bronx, NY	21423	2242
14000US36005005200	Census Tract 52, Bronx, NY	17106	21429
14000US36005005300	Census Tract 53, Bronx, NY	15087	3199
14000US36005005400	Census Tract 54, Bronx, NY	29583	5817
14000US36005005600	Census Tract 56, Bronx, NY	26000	13478
14000US36005005902	Census Tract 59.02, Bronx, NY	35488	8276
14000US36005006000	Census Tract 60, Bronx, NY	40586	5568
14000US36005006100	Census Tract 61, Bronx, NY	43950	2865
14000US36005006200	Census Tract 62, Bronx, NY	25500	6203
14000US36005006300	Census Tract 63, Bronx, NY	31830	3783
14000US36005006400	Census Tract 64, Bronx, NY	36446	14791
14000US36005006500	Census Tract 65, Bronx, NY	21640	3874
14000US36005006700	Census Tract 67, Bronx, NY	19079	4570
14000US36005006800	Census Tract 68, Bronx, NY	30969	12214
14000US36005006900	Census Tract 69, Bronx, NY	17460	7293
14000US36005007000	Census Tract 70, Bronx, NY	36852	7701
14000US36005007100	Census Tract 71, Bronx, NY	40682	9929
14000US36005007200	Census Tract 72, Bronx, NY	42193	9136
14000US36005007300	Census Tract 73, Bronx, NY	22254	4360
14000US36005007400	Census Tract 74, Bronx, NY	43696	6818
14000US36005007500	Census Tract 75, Bronx, NY	21723	2341
14000US36005007600	Census Tract 76, Bronx, NY	41754	12986
14000US36005007700	Census Tract 77, Bronx, NY	27250	8088
14000US36005007800	Census Tract 78, Bronx, NY	32060	9896
14000US36005007900	Census Tract 79, Bronx, NY	25244	13391
14000US36005008300	Census Tract 83, Bronx, NY	18441	5810
14000US36005008400	Census Tract 84, Bronx, NY	54219	15316
14000US36005008500	Census Tract 85, Bronx, NY	23882	9200
14000US36005008600	Census Tract 86, Bronx, NY	20069	6326
14000US36005008700	Census Tract 87, Bronx, NY	28725	2207
14000US36005008900	Census Tract 89, Bronx, NY	18794	3657
14000US36005009000	Census Tract 90, Bronx, NY	27910	3715
14000US36005009200	Census Tract 92, Bronx, NY	30845	8460
14000US36005009300	Census Tract 93, Bronx, NY	30783	3466
14000US36005009600	Census Tract 96, Bronx, NY	41786	9528
14000US36005009800	Census Tract 98, Bronx, NY	52500	12525
14000US36005011000	Census Tract 110, Bronx, NY	46417	48650
14000US36005011502	Census Tract 115.02, Bronx, NY	21016	4140
14000US36005011700	Census Tract 117, Bronx, NY	19022	8600
14000US36005011800	Census Tract 118, Bronx, NY	73508	8647
14000US36005011900	Census Tract 119, Bronx, NY	23838	4637
14000US36005012101	Census Tract 121.01, Bronx, NY	35147	7657
14000US36005012102	Census Tract 121.02, Bronx, NY	17028	5353
14000US36005012300	Census Tract 123, Bronx, NY	20966	8384
14000US36005012500	Census Tract 125, Bronx, NY	26276	6079
14000US36005012701	Census Tract 127.01, Bronx, NY	21589	6217
14000US36005012901	Census Tract 129.01, Bronx, NY	14301	4084
14000US36005013000	Census Tract 130, Bronx, NY	68512	14184
14000US36005013100	Census Tract 131, Bronx, NY	28594	6763
14000US36005013200	Census Tract 132, Bronx, NY	91968	6640
14000US36005013300	Census Tract 133, Bronx, NY	22012	11473
14000US36005013500	Census Tract 135, Bronx, NY	20171	2825
14000US36005013800	Census Tract 138, Bronx, NY	70774	13333
14000US36005014100	Census Tract 141, Bronx, NY	30850	4618
14000US36005014300	Census Tract 143, Bronx, NY	10114	8540
14000US36005014400	Census Tract 144, Bronx, NY	21964	4470
14000US36005014500	Census Tract 145, Bronx, NY	20621	5666
14000US36005014701	Census Tract 147.01, Bronx, NY	21106	4656
14000US36005014702	Census Tract 147.02, Bronx, NY	17940	4040
14000US36005014900	Census Tract 149, Bronx, NY	23491	6038
14000US36005015100	Census Tract 151, Bronx, NY	29031	5841
14000US36005015200	Census Tract 152, Bronx, NY	58125	9229
14000US36005015300	Census Tract 153, Bronx, NY	21521	4681
14000US36005015500	Census Tract 155, Bronx, NY	26698	9372
14000US36005015700	Census Tract 157, Bronx, NY	26250	6648
