id	long_id	borogh_id	tract_name	income
004900	14000US36047004900	47	Census Tract 49, Kings, NY	100200
004900	14000US36061004900	61	Census Tract 49, New York, NY	98047
005000	14000US36085005000	85	Census Tract 50, Richmond, NY	60563
005000	14000US36061005000	61	Census Tract 50, New York, NY	92760
005000	14000US36047005000	47	Census Tract 50, Kings, NY	82644
005000	14000US36081005000	81	Census Tract 50, Queens, NY	0
005001	14000US36005005001	05	Census Tract 50.01, Bronx, NY	30106
005002	14000US36005005002	05	Census Tract 50.02, Bronx, NY	32788
005100	14000US36005005100	05	Census Tract 51, Bronx, NY	21423
005100	14000US36081005100	81	Census Tract 51, Queens, NY	44464
005100	14000US36047005100	47	Census Tract 51, Kings, NY	100645
005200	14000US36005005200	05	Census Tract 52, Bronx, NY	17106
005200	14000US36081005200	81	Census Tract 52, Queens, NY	57656
005200	14000US36061005200	61	Census Tract 52, New York, NY	174286
005201	14000US36047005201	47	Census Tract 52.01, Kings, NY	17292
005202	14000US36047005202	47	Census Tract 52.02, Kings, NY	72854
005300	14000US36005005300	05	Census Tract 53, Bronx, NY	15087
005300	14000US36047005300	47	Census Tract 53, Kings, NY	67054
005300	14000US36081005300	81	Census Tract 53, Queens, NY	50881
005400	14000US36005005400	05	Census Tract 54, Bronx, NY	29583
005400	14000US36047005400	47	Census Tract 54, Kings, NY	62778
005400	14000US36061005400	61	Census Tract 54, New York, NY	122798
005400	14000US36081005400	81	Census Tract 54, Queens, NY	59208
005500	14000US36081005500	81	Census Tract 55, Queens, NY	57981
005501	14000US36061005501	61	Census Tract 55.01, New York, NY	119853
005502	14000US36061005502	61	Census Tract 55.02, New York, NY	114643
005600	14000US36005005600	05	Census Tract 56, Bronx, NY	26000
005600	14000US36061005600	61	Census Tract 56, New York, NY	120547
005601	14000US36047005601	47	Census Tract 56.01, Kings, NY	51339
005602	14000US36047005602	47	Census Tract 56.02, Kings, NY	51989
005700	14000US36081005700	81	Census Tract 57, Queens, NY	52346
005700	14000US36061005700	61	Census Tract 57, New York, NY	156500
005800	14000US36047005800	47	Census Tract 58, Kings, NY	50747
005800	14000US36061005800	61	Census Tract 58, New York, NY	122661
005800	14000US36081005800	81	Census Tract 58, Queens, NY	66414
005900	14000US36047005900	47	Census Tract 59, Kings, NY	61106
005900	14000US36061005900	61	Census Tract 59, New York, NY	111058
005900	14000US36081005900	81	Census Tract 59, Queens, NY	62008
005900	14000US36085005900	85	Census Tract 59, Richmond, NY	81275
005902	14000US36005005902	05	Census Tract 59.02, Bronx, NY	35488
006000	14000US36005006000	05	Census Tract 60, Bronx, NY	40586
006000	14000US36047006000	47	Census Tract 60, Kings, NY	62578
006000	14000US36061006000	61	Census Tract 60, New York, NY	103824
006100	14000US36081006100	81	Census Tract 61, Queens, NY	59401
006100	14000US36005006100	05	Census Tract 61, Bronx, NY	43950
006100	14000US36061006100	61	Census Tract 61, New York, NY	101685
006200	14000US36005006200	05	Census Tract 62, Bronx, NY	25500
006200	14000US36047006200	47	Census Tract 62, Kings, NY	43279
006200	14000US36061006200	61	Census Tract 62, New York, NY	93750
006201	14000US36081006201	81	Census Tract 62.01, Queens, NY	54022
006202	14000US36081006202	81	Census Tract 62.02, Queens, NY	56046
006300	14000US36005006300	05	Census Tract 63, Bronx, NY	31830
006300	14000US36081006300	81	Census Tract 63, Queens, NY	53610
006300	14000US36047006300	47	Census Tract 63, Kings, NY	92188
006300	14000US36061006300	61	Census Tract 63, New York, NY	104857
006400	14000US36085006400	85	Census Tract 64, Richmond, NY	51961
006400	14000US36005006400	05	Census Tract 64, Bronx, NY	36446
006400	14000US36061006400	61	Census Tract 64, New York, NY	90798
006400	14000US36047006400	47	Census Tract 64, Kings, NY	49191
006500	14000US36047006500	47	Census Tract 65, Kings, NY	100850
006500	14000US36005006500	05	Census Tract 65, Bronx, NY	21640
006500	14000US36061006500	61	Census Tract 65, New York, NY	81389
006501	14000US36081006501	81	Census Tract 65.01, Queens, NY	57341
006502	14000US36081006502	81	Census Tract 65.02, Queens, NY	56123
006600	14000US36061006600	61	Census Tract 66, New York, NY	77254
006600	14000US36047006600	47	Census Tract 66, Kings, NY	58171
006700	14000US36005006700	05	Census Tract 67, Bronx, NY	19079
006700	14000US36061006700	61	Census Tract 67, New York, NY	86563
006700	14000US36047006700	47	Census Tract 67, Kings, NY	138068
006700	14000US36085006700	85	Census Tract 67, Richmond, NY	92392
006800	14000US36047006800	47	Census Tract 68, Kings, NY	37946
006800	14000US36005006800	05	Census Tract 68, Bronx, NY	30969
006800	14000US36061006800	61	Census Tract 68, New York, NY	101411
006900	14000US36081006900	81	Census Tract 69, Queens, NY	46926
006900	14000US36061006900	61	Census Tract 69, New York, NY	160642
006900	14000US36047006900	47	Census Tract 69, Kings, NY	110217
006900	14000US36005006900	05	Census Tract 69, Bronx, NY	17460
007000	14000US36085007000	85	Census Tract 70, Richmond, NY	71322
007000	14000US36061007000	61	Census Tract 70, New York, NY	93028
007000	14000US36005007000	05	Census Tract 70, Bronx, NY	36852
007000	14000US36047007000	47	Census Tract 70, Kings, NY	46989
007100	14000US36081007100	81	Census Tract 71, Queens, NY	56677
007100	14000US36047007100	47	Census Tract 71, Kings, NY	35383
007100	14000US36061007100	61	Census Tract 71, New York, NY	127017
007100	14000US36005007100	05	Census Tract 71, Bronx, NY	40682
007200	14000US36061007200	61	Census Tract 72, New York, NY	102117
007200	14000US36047007200	47	Census Tract 72, Kings, NY	34535
007200	14000US36005007200	05	Census Tract 72, Bronx, NY	42193
007300	14000US36061007300	61	Census Tract 73, New York, NY	109321
007300	14000US36081007300	81	Census Tract 73, Queens, NY	65112
007300	14000US36005007300	05	Census Tract 73, Bronx, NY	22254
007400	14000US36005007400	05	Census Tract 74, Bronx, NY	43696
007400	14000US36047007400	47	Census Tract 74, Kings, NY	35965
007400	14000US36085007400	85	Census Tract 74, Richmond, NY	82366
007400	14000US36061007400	61	Census Tract 74, New York, NY	140242
007500	14000US36005007500	05	Census Tract 75, Bronx, NY	21723
007500	14000US36085007500	85	Census Tract 75, Richmond, NY	48578
007500	14000US36081007500	81	Census Tract 75, Queens, NY	45933
007500	14000US36047007500	47	Census Tract 75, Kings, NY	109250
007500	14000US36061007500	61	Census Tract 75, New York, NY	100208
007600	14000US36061007600	61	Census Tract 76, New York, NY	88333
007600	14000US36047007600	47	Census Tract 76, Kings, NY	35781
007600	14000US36005007600	05	Census Tract 76, Bronx, NY	41754
007700	14000US36061007700	61	Census Tract 77, New York, NY	100125
007700	14000US36005007700	05	Census Tract 77, Bronx, NY	27250
007700	14000US36085007700	85	Census Tract 77, Richmond, NY	48413
007700	14000US36081007700	81	Census Tract 77, Queens, NY	78523
007700	14000US36047007700	47	Census Tract 77, Kings, NY	102625
007800	14000US36047007800	47	Census Tract 78, Kings, NY	34176
007800	14000US36061007800	61	Census Tract 78, New York, NY	119475
007800	14000US36005007800	05	Census Tract 78, Bronx, NY	32060
007900	14000US36005007900	05	Census Tract 79, Bronx, NY	25244
007900	14000US36081007900	81	Census Tract 79, Queens, NY	38301
007900	14000US36061007900	61	Census Tract 79, New York, NY	128571
008000	14000US36061008000	61	Census Tract 80, New York, NY	109276
008000	14000US36047008000	47	Census Tract 80, Kings, NY	47945
008100	14000US36061008100	61	Census Tract 81, New York, NY	104647
008100	14000US36081008100	81	Census Tract 81, Queens, NY	52228
008100	14000US36085008100	85	Census Tract 81, Richmond, NY	30417
008200	14000US36047008200	47	Census Tract 82, Kings, NY	42917
008200	14000US36061008200	61	Census Tract 82, New York, NY	99057
008300	14000US36061008300	61	Census Tract 83, New York, NY	54975
008300	14000US36005008300	05	Census Tract 83, Bronx, NY	18441
008300	14000US36081008300	81	Census Tract 83, Queens, NY	47692
008400	14000US36047008400	47	Census Tract 84, Kings, NY	36908
008400	14000US36005008400	05	Census Tract 84, Bronx, NY	54219
008400	14000US36061008400	61	Census Tract 84, New York, NY	125243
008500	14000US36005008500	05	Census Tract 85, Bronx, NY	23882
008500	14000US36081008500	81	Census Tract 85, Queens, NY	31701
008500	14000US36047008500	47	Census Tract 85, Kings, NY	18390
008600	14000US36005008600	05	Census Tract 86, Bronx, NY	20069
008600	14000US36081008600	81	Census Tract 86, Queens, NY	71316
008600	14000US36047008600	47	Census Tract 86, Kings, NY	0
008601	14000US36061008601	61	Census Tract 86.01, New York, NY	143000
008602	14000US36061008602	61	Census Tract 86.02, New York, NY	0
008603	14000US36061008603	61	Census Tract 86.03, New York, NY	148060
008700	14000US36061008700	61	Census Tract 87, New York, NY	108154
008700	14000US36005008700	05	Census Tract 87, Bronx, NY	28725
008700	14000US36081008700	81	Census Tract 87, Queens, NY	23807
008800	14000US36061008800	61	Census Tract 88, New York, NY	92581
008800	14000US36047008800	47	Census Tract 88, Kings, NY	45609
008800	14000US36081008800	81	Census Tract 88, Queens, NY	81598
008900	14000US36061008900	61	Census Tract 89, New York, NY	85678
008900	14000US36005008900	05	Census Tract 89, Bronx, NY	18794
009000	14000US36047009000	47	Census Tract 90, Kings, NY	31047
009000	14000US36005009000	05	Census Tract 90, Bronx, NY	27910
009000	14000US36061009000	61	Census Tract 90, New York, NY	112903
009100	14000US36061009100	61	Census Tract 91, New York, NY	107241
009100	14000US36081009100	81	Census Tract 91, Queens, NY	62917
009200	14000US36047009200	47	Census Tract 92, Kings, NY	41818
009200	14000US36061009200	61	Census Tract 92, New York, NY	118875
009200	14000US36005009200	05	Census Tract 92, Bronx, NY	30845
009300	14000US36005009300	05	Census Tract 93, Bronx, NY	30783
009300	14000US36061009300	61	Census Tract 93, New York, NY	90819
009400	14000US36061009400	61	Census Tract 94, New York, NY	41250
009400	14000US36047009400	47	Census Tract 94, Kings, NY	37083
009400	14000US36081009400	81	Census Tract 94, Queens, NY	54522
009500	14000US36061009500	61	Census Tract 95, New York, NY	144444
009500	14000US36081009500	81	Census Tract 95, Queens, NY	61875
009600	14000US36047009600	47	Census Tract 96, Kings, NY	39317
