GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130118,0,0,17,-39
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130119,0,0,111,-6
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130119,0,0,111,-6
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130119,0,0,106,-11
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130120,0,0,133,-6
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130120,0,0,122,-6
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130120,0,0,117,-11
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130121,8,3,6,-33
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130121,0,0,0,-22
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130121,0,0,0,-33
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130122,0,0,-22,-100
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130122,0,0,-17,-94
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130122,0,0,-28,-106
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130123,0,0,-61,-111
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130123,0,0,-67,-111
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130123,0,0,-67,-117
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130124,0,0,-33,-106
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130124,0,0,-39,-94
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130124,0,0,-56,-111
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130125,13,20,-44,-100
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130125,10,18,-39,-100
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130125,18,38,-44,-106
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130126,0,0,-28,-100
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130126,0,0,-17,-78
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130126,0,0,-28,-94
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130127,0,0,17,-78
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130127,0,0,17,-61
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130127,0,0,11,-72
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130128,48,3,17,-44
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130128,56,5,28,-17
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130128,56,0,22,-17
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130129,8,0,89,11
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130129,23,0,78,28
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130129,15,0,94,22
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130130,8,0,111,50
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130130,8,0,122,28
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130130,10,0,150,39
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130131,114,0,133,-11
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130131,224,0,156,-6
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130131,229,0,161,-11
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130201,0,0,6,-44
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130201,0,0,0,-39
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130201,0,0,-6,-44
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130202,5,8,-6,-67
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130202,3,10,-11,-67
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130202,5,3,-17,-72
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130203,8,13,0,-56
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130203,8,8,-6,-44
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130203,5,8,-11,-44
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130204,0,0,0,-44
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130204,0,0,-6,-44
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130204,0,0,-11,-50
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130205,3,5,0,-22
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130205,5,8,0,-22
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130205,5,10,0,-22
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130206,0,0,50,-17
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130206,0,0,44,-11
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,20130206,0,0,39,-17
GHCND:USW00094789,NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20130207,0,0,6,-50
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20130207,0,0,6,-33
